"","facility","total","vaginal","vbac","cesarean","county","year"
"1","Total Births",49492,34474,673,14340,"State Total",2008
"2","Total Births",147,111,1,35,"Baker County",2008
"3","Saint Alphonsus Medical Center - Baker City",140,104,1,35,"Baker County",2008
"4","Home Birth (Planned)",7,7,0,0,"Baker County",2008
"5","Total Births",1099,859,22,218,"Benton County",2008
"6","Good Samaritan Regional Medical Center",1058,820,20,218,"Benton County",2008
"7","Home Birth (Planned)",38,36,2,0,"Benton County",2008
"8","Home Birth (Unplanned)",1,1,0,0,"Benton County",2008
"9","Other",2,2,0,0,"Benton County",2008
"10","Total Births",4834,3531,50,1253,"Clackamas County",2008
"11","Kaiser Sunnyside Medical Center",1799,1384,24,391,"Clackamas County",2008
"12","Legacy Meridian Park Hospital",1127,723,15,389,"Clackamas County",2008
"13","Providence Milwaukie Hospital",707,505,0,202,"Clackamas County",2008
"14","Providence Willamette Falls Medical Center",1110,831,8,271,"Clackamas County",2008
"15","Home Birth (Planned)",84,81,3,0,"Clackamas County",2008
"16","Home Birth (Unplanned)",1,1,0,0,"Clackamas County",2008
"17","Other",6,6,0,0,"Clackamas County",2008
"18","Total Births",522,355,5,162,"Clatsop County",2008
"19","Columbia Memorial Hospital",361,245,0,116,"Clatsop County",2008
"20","Providence Seaside Hospital",151,102,3,46,"Clatsop County",2008
"21","Home Birth (Planned)",10,8,2,0,"Clatsop County",2008
"22","Total Births",11,10,1,0,"Columbia County",2008
"23","Home Birth (Planned)",9,9,0,0,"Columbia County",2008
"24","Home Birth (Unplanned)",2,1,1,0,"Columbia County",2008
"25","Total Births",719,530,7,182,"Coos County",2008
"26","Bay Area Hospital",657,477,6,174,"Coos County",2008
"27","Coquille Valley Hospital",42,34,0,8,"Coos County",2008
"28","Home Birth (Planned)",19,18,1,0,"Coos County",2008
"29","Other",1,1,0,0,"Coos County",2008
"30","Total Births",140,104,0,36,"Crook County",2008
"31","Pioneer Memorial Hospital (Prineville)",136,100,0,36,"Crook County",2008
"32","Home Birth (Planned)",4,4,0,0,"Crook County",2008
"33","Total Births",40,31,0,9,"Curry County",2008
"34","Curry General Hospital",38,29,0,9,"Curry County",2008
"35","Home Birth (Planned)",2,2,0,0,"Curry County",2008
"36","Total Births",2198,1630,24,544,"Deschutes County",2008
"37","St Charles Medical Center - Bend",1800,1295,23,482,"Deschutes County",2008
"38","St Charles Medical Center - Redmond",316,254,0,62,"Deschutes County",2008
"39","Bend Birth Center",14,14,0,0,"Deschutes County",2008
"40","Motherwise Community Birth Center",42,42,0,0,"Deschutes County",2008
"41","Home Birth (Planned)",24,23,1,0,"Deschutes County",2008
"42","Home Birth (Unplanned)",1,1,0,0,"Deschutes County",2008
"43","Other",1,1,0,0,"Deschutes County",2008
"44","Total Births",981,760,8,213,"Douglas County",2008
"45","Mercy Medical Center",973,753,7,213,"Douglas County",2008
"46","Home Birth (Planned)",8,7,1,0,"Douglas County",2008
"47","Total Births",53,33,0,20,"Grant County",2008
"48","Blue Mountain Hospital District",50,30,0,20,"Grant County",2008
"49","Home Birth (Planned)",3,3,0,0,"Grant County",2008
"50","Total Births",65,39,0,26,"Harney County",2008
"51","Harney District Hospital",63,37,0,26,"Harney County",2008
"52","Home Birth (Planned)",2,2,0,0,"Harney County",2008
"53","Total Births",390,290,0,100,"Hood River County",2008
"54","Providence Hood River Memorial Hospital",377,277,0,100,"Hood River County",2008
"55","Home Birth (Planned)",13,13,0,0,"Hood River County",2008
"56","Total Births",2602,1768,13,821,"Jackson County",2008
"57","Ashland Community Hospital",383,271,9,103,"Jackson County",2008
"58","Providence Medford Medical Center",608,426,2,180,"Jackson County",2008
"59","Rogue Valley Medical Center",1567,1028,1,538,"Jackson County",2008
"60","Home Birth (Planned)",40,39,1,0,"Jackson County",2008
"61","Home Birth (Unplanned)",2,2,0,0,"Jackson County",2008
"62","Other",2,2,0,0,"Jackson County",2008
"63","Total Births",255,192,0,63,"Jefferson County",2008
"64","Mountain View Hospital District",249,186,0,63,"Jefferson County",2008
"65","Home Birth (Planned)",5,5,0,0,"Jefferson County",2008
"66","Other",1,1,0,0,"Jefferson County",2008
"67","Total Births",862,664,3,195,"Josephine County",2008
"68","Three Rivers Community Hospital",842,646,1,195,"Josephine County",2008
"69","Home Birth (Planned)",17,15,2,0,"Josephine County",2008
"70","Home Birth (Unplanned)",2,2,0,0,"Josephine County",2008
"71","Other",1,1,0,0,"Josephine County",2008
"72","Total Births",889,620,3,266,"Klamath County",2008
"73","Sky Lakes Medical Center",889,620,3,266,"Klamath County",2008
"74","Total Births",60,45,0,15,"Lake County",2008
"75","Lake District Hospital",60,45,0,15,"Lake County",2008
"76","Total Births",4084,2787,32,1263,"Lane County",2008
"77","McKenzie-Willamette Medical Center",825,577,1,246,"Lane County",2008
"78","Peace Harbor Hospital",69,50,0,19,"Lane County",2008
"79","Sacred Heart Medical Center",1770,1162,12,595,"Lane County",2008
"80","Sacred Heart - River Bend",1182,770,9,403,"Lane County",2008
"81","Nurse Midwifery Birth Center",108,108,0,0,"Lane County",2008
"82","Sacred Waters Birthing Center",16,16,0,0,"Lane County",2008
"83","Home Birth (Planned)",108,98,10,0,"Lane County",2008
"84","Home Birth (Unplanned)",2,2,0,0,"Lane County",2008
"85","Other",4,4,0,0,"Lane County",2008
"86","Total Births",404,286,2,116,"Lincoln County",2008
"87","Samaritan North Lincoln Hospital",172,124,1,47,"Lincoln County",2008
"88","Samaritan Pacific Communities Hospital",191,121,1,69,"Lincoln County",2008
"89","Home Sweet Home Birth Center",25,25,0,0,"Lincoln County",2008
"90","Home Birth (Planned)",15,15,0,0,"Lincoln County",2008
"91","Home Birth (Unplanned)",1,1,0,0,"Lincoln County",2008
"92","Total Births",981,701,11,269,"Linn County",2008
"93","Samaritan Albany General Hospital",688,474,4,210,"Linn County",2008
"94","Samaritan Lebanon Community Hospital",265,204,2,59,"Linn County",2008
"95","Home Birth (Planned)",24,21,3,0,"Linn County",2008
"96","Home Birth (Unplanned)",3,2,1,0,"Linn County",2008
"97","Other",1,0,1,0,"Linn County",2008
"98","Total Births",694,480,2,212,"Malheur County",2008
"99","Saint Alphonsus Medical Center - Ontario",688,474,2,212,"Malheur County",2008
"100","Home Birth (Planned)",6,6,0,0,"Malheur County",2008
"101","Total Births",5666,4158,49,1459,"Marion County",2008
"102","Salem Hospital",3510,2427,8,1075,"Marion County",2008
"103","Santiam Memorial Hospital",162,103,0,59,"Marion County",2008
"104","Silverton Hospital",1928,1565,38,325,"Marion County",2008
"105","Home Birth (Planned)",55,52,3,0,"Marion County",2008
"106","Home Birth (Unplanned)",7,7,0,0,"Marion County",2008
"107","Other",4,4,0,0,"Marion County",2008
"108","Total Births",3,3,0,0,"Morrow County",2008
"109","Home Birth (Planned)",3,3,0,0,"Morrow County",2008
"110","Total Births",11027,7244,240,3540,"Multnomah County",2008
"111","Adventist Medical Center",1181,803,7,371,"Multnomah County",2008
"112","Legacy Emanuel Hospital & Health Center",1715,942,61,712,"Multnomah County",2008
"113","Legacy Good Samaritan Hospital & Medical Center",1262,890,11,361,"Multnomah County",2008
"114","Legacy Mt Hood Medical Center",1183,871,12,300,"Multnomah County",2008
"115","OHSU Hospitals & Clinics",2691,1648,120,920,"Multnomah County",2008
"116","Providence Portland Medical Center",2620,1723,21,876,"Multnomah County",2008
"117","Alma Midwifery Services",59,57,2,0,"Multnomah County",2008
"118","Andaluz Waterbirth Center - Portland",3,3,0,0,"Multnomah County",2008
"119","Natural Childbirth & Family Clinic",24,24,0,0,"Multnomah County",2008
"120","Clinic/Doctor’s Office",2,2,0,0,"Multnomah County",2008
"121","Home Birth (Planned)",271,265,6,0,"Multnomah County",2008
"122","Home Birth (Unplanned)",10,10,0,0,"Multnomah County",2008
"123","Other",6,6,0,0,"Multnomah County",2008
"124","Total Births",14,14,0,0,"Polk County",2008
"125","Home Birth (Planned)",14,14,0,0,"Polk County",2008
"126","Total Births",1,1,0,0,"Sherman County",2008
"127","Home Birth (Planned)",1,1,0,0,"Sherman County",2008
"128","Total Births",164,119,0,45,"Tillamook County",2008
"129","General Hospital",160,115,0,45,"Tillamook County",2008
"130","Home Birth (Planned)",4,4,0,0,"Tillamook County",2008
"131","Total Births",866,590,4,272,"Umatilla County",2008
"132","Good Shepherd Medical Center",556,355,2,199,"Umatilla County",2008
"133","St Anthony Hospital",302,227,2,73,"Umatilla County",2008
"134","Home Birth (Planned)",7,7,0,0,"Umatilla County",2008
"135","Home Birth (Unplanned)",1,1,0,0,"Umatilla County",2008
"136","Total Births",316,222,0,94,"Union County",2008
"137","Grande Ronde Hospital",300,206,0,94,"Union County",2008
"138","Home Birth (Planned)",15,15,0,0,"Union County",2008
"139","Home Birth (Unplanned)",1,1,0,0,"Union County",2008
"140","Total Births",61,39,0,22,"Wallowa County",2008
"141","Wallowa Memorial Hospital",60,38,0,22,"Wallowa County",2008
"142","Home Birth (Planned)",1,1,0,0,"Wallowa County",2008
"143","Total Births",327,206,1,120,"Wasco County",2008
"144","Mid-Columbia Medical Center",321,201,0,120,"Wasco County",2008
"145","Home Birth (Planned)",4,3,1,0,"Wasco County",2008
"146","Home Birth (Unplanned)",1,1,0,0,"Wasco County",2008
"147","Other",1,1,0,0,"Wasco County",2008
"148","Total Births",7689,5096,186,2407,"Washington County",2008
"149","Providence St Vincent Medical Center",6145,3875,152,2118,"Washington County",2008
"150","Tuality Community Hospital - Hillsboro",1348,1037,22,289,"Washington County",2008
"151","Andaluz Waterbirth Center - Tualatin",126,119,7,0,"Washington County",2008
"152","Home Birth (Planned)",59,55,4,0,"Washington County",2008
"153","Home Birth (Unplanned)",5,5,0,0,"Washington County",2008
"154","Other",6,5,1,0,"Washington County",2008
"155","Total Births",1,1,0,0,"Wheeler County",2008
"156","Home Birth (Planned)",1,1,0,0,"Wheeler County",2008
"157","Total Births",1326,954,9,363,"Yamhill County",2008
"158","Providence Newberg Medical Center",593,428,1,164,"Yamhill County",2008
"159","Willamette Valley Medical Center",671,466,6,199,"Yamhill County",2008
"160","Bella Vie Gentle Birth Center",44,42,2,0,"Yamhill County",2008
"161","Home Birth (Planned)",17,17,0,0,"Yamhill County",2008
"162","Home Birth (Unplanned)",1,1,0,0,"Yamhill County",2008
"163","Total Births",47685,32833,769,14083,"State Total",2009
"164","Total Births",119,91,1,27,"Baker County",2009
"165","Saint Alphonsus Medical Center - Baker City",113,85,1,27,"Baker County",2009
"166","Home Birth (Planned)",6,6,0,0,"Baker County",2009
"167","Total Births",1134,854,33,247,"Benton County",2009
"168","Good Samaritan Regional Medical Center",1104,827,30,247,"Benton County",2009
"169","Home Birth (Planned)",29,27,2,0,"Benton County",2009
"170","Other",1,0,1,0,"Benton County",2009
"171","Total Births",4545,3297,74,1174,"Clackamas County",2009
"172","Kaiser Sunnyside Medical Center",1700,1306,35,359,"Clackamas County",2009
"173","Legacy Meridian Park Hospital",1097,672,20,405,"Clackamas County",2009
"174","Providence Milwaukie Hospital",655,479,2,174,"Clackamas County",2009
"175","Providence Willamette Falls Medical Center",1002,751,15,236,"Clackamas County",2009
"176","Home Birth (Planned)",84,82,2,0,"Clackamas County",2009
