facility,total,vaginal,vbac,cesarean,county,year
Total Births,49492,34474,673,14340,State Total,2008
Total Births,147,111,1,35,Baker County,2008
Saint Alphonsus Medical Center - Baker City,140,104,1,35,Baker County,2008
Home Birth (Planned),7,7,0,0,Baker County,2008
Total Births,1099,859,22,218,Benton County,2008
Good Samaritan Regional Medical Center,1058,820,20,218,Benton County,2008
Home Birth (Planned),38,36,2,0,Benton County,2008
Home Birth (Unplanned),1,1,0,0,Benton County,2008
Other,2,2,0,0,Benton County,2008
Total Births,4834,3531,50,1253,Clackamas County,2008
Kaiser Sunnyside Medical Center,1799,1384,24,391,Clackamas County,2008
Legacy Meridian Park Hospital,1127,723,15,389,Clackamas County,2008
Providence Milwaukie Hospital,707,505,0,202,Clackamas County,2008
Providence Willamette Falls Medical Center,1110,831,8,271,Clackamas County,2008
Home Birth (Planned),84,81,3,0,Clackamas County,2008
Home Birth (Unplanned),1,1,0,0,Clackamas County,2008
Other,6,6,0,0,Clackamas County,2008
Total Births,522,355,5,162,Clatsop County,2008
Columbia Memorial Hospital,361,245,0,116,Clatsop County,2008
Providence Seaside Hospital,151,102,3,46,Clatsop County,2008
Home Birth (Planned),10,8,2,0,Clatsop County,2008
Total Births,11,10,1,0,Columbia County,2008
Home Birth (Planned),9,9,0,0,Columbia County,2008
Home Birth (Unplanned),2,1,1,0,Columbia County,2008
Total Births,719,530,7,182,Coos County,2008
Bay Area Hospital,657,477,6,174,Coos County,2008
Coquille Valley Hospital,42,34,0,8,Coos County,2008
Home Birth (Planned),19,18,1,0,Coos County,2008
Other,1,1,0,0,Coos County,2008
Total Births,140,104,0,36,Crook County,2008
Pioneer Memorial Hospital (Prineville),136,100,0,36,Crook County,2008
Home Birth (Planned),4,4,0,0,Crook County,2008
Total Births,40,31,0,9,Curry County,2008
Curry General Hospital,38,29,0,9,Curry County,2008
Home Birth (Planned),2,2,0,0,Curry County,2008
Total Births,2198,1630,24,544,Deschutes County,2008
St Charles Medical Center - Bend,1800,1295,23,482,Deschutes County,2008
St Charles Medical Center - Redmond,316,254,0,62,Deschutes County,2008
Bend Birth Center,14,14,0,0,Deschutes County,2008
Motherwise Community Birth Center,42,42,0,0,Deschutes County,2008
Home Birth (Planned),24,23,1,0,Deschutes County,2008
Home Birth (Unplanned),1,1,0,0,Deschutes County,2008
Other,1,1,0,0,Deschutes County,2008
Total Births,981,760,8,213,Douglas County,2008
Mercy Medical Center,973,753,7,213,Douglas County,2008
Home Birth (Planned),8,7,1,0,Douglas County,2008
Total Births,53,33,0,20,Grant County,2008
Blue Mountain Hospital District,50,30,0,20,Grant County,2008
Home Birth (Planned),3,3,0,0,Grant County,2008
Total Births,65,39,0,26,Harney County,2008
Harney District Hospital,63,37,0,26,Harney County,2008
Home Birth (Planned),2,2,0,0,Harney County,2008
Total Births,390,290,0,100,Hood River County,2008
Providence Hood River Memorial Hospital,377,277,0,100,Hood River County,2008
Home Birth (Planned),13,13,0,0,Hood River County,2008
Total Births,2602,1768,13,821,Jackson County,2008
Ashland Community Hospital,383,271,9,103,Jackson County,2008
Providence Medford Medical Center,608,426,2,180,Jackson County,2008
